Type,x,y
-1,0.36511016824482856,0.10549527957022953
-1,0.6291081515397092,0.9271545530678674
-1,0.440377154715784,0.9545904936907372
0,0.499895813687647,0.42522862484907553
0,0.6202134520153778,0.9950965052353241
0,0.9489436749377653,0.4600451393090961
1,0.698085424788533,0.270838543404032
1,0.7004917500324885,0.2833957178287497
1,0.6760603859313928,0.3473100542909122
1,0.6105688767198336,0.3515185681801879
1,0.5621349765292474,0.30929278954750034
1,0.564156862680595,0.2503794132173808
1,0.5408023092655105,0.24274848243597022
1,0.5591811481995543,0.20816319472365208
1,0.625730549063622,0.1830894729835666
1,0.6259959998961361,0.1844701628636593
1,0.6708519821307184,0.189075336215127
1,0.667340387710387,0.20060598526071663
1,0.6778242634094475,0.21871896655850226
1,0.6949590489143231,0.20246418587568693
1,0.7061055107670499,0.22756790409521568
1,0.7034290807283905,0.24105960721742012
2,0.12309292327982328,0.06440965647907756
2,0.049890456016375935,0.07822936348540138
2,0.04587552353057048,0.08980854556668076
2,0.012167728730616868,0.07592209547844236
2,3.981106231436965e-05,0.08293959968049369
2,0.0,0.08810584321279241
2,0.0,0.06010888322446151
2,0.0,0.022045482270077396
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.06019500051507282,0.0
2,0.0766772961214208,0.0
2,0.10773699806364914,0.0
2,0.0934281090283416,0.0
2,0.13038918041372966,0.0
